naslov,avtor,# novih poglavij,# novih besed,# poglavij,# besed,datum objave novega poglavja,datum prve objave,teden v katerem je bilo objavljeno novo poglavje,je quest,je zaključen 
Birb Dating Simulator Edition,T0PH4T,5,14000,5,14000,2018-10-21,2018-08-12,2018-10-20,True,False
Gamer!Worm Powerwank Skitter!Pan Fixfic Villain!MC that ends abruptly and is never finished,BreezyWheeze,1,4200,19,100000,2018-10-20,2018-02-20,2018-10-20,True,False
He Who Devours The World,Rigged Bomb,50,75000,50,75000,2018-10-20,2017-07-25,2018-10-20,True,False
IZ BEST,frustratedFreeboota,1,387,16,10000,2018-10-20,2017-10-10,2018-10-20,True,False
Beneath a Hunter&apos;s Cape,Read Write Remembrance,2,6400,2,6400,2018-10-13,2018-10-13,2018-10-13,False,False
Fugitive,TheWolfWithBadGrammar,1,1500,1,1500,2018-10-13,2018-10-13,2018-10-13,False,False
Fun in Warcraft: The Simurgh,ThoughtsOfDeath,1,12000,1,12000,2018-10-13,2018-10-13,2018-10-13,False,False
Gratitude,All That Jazz,4,3400,4,3400,2018-10-13,2018-10-13,2018-10-13,False,False
Gungeon Master,TriteAndJaded,2,1200,2,1200,2018-10-13,2018-10-13,2018-10-13,False,False
Lathe,Penelope Orion,1,109,1,109,2018-10-13,2018-10-13,2018-10-13,False,False
Song of Rainbows,RedLightningD608,2,3500,2,3500,2018-10-13,2018-10-12,2018-10-13,False,False
Taking over the Administration,Hogg4,13,12000,13,12000,2018-10-13,2018-10-13,2018-10-13,False,False
A Tale of Two Spiders,DoubleVC,5,8600,5,8600,2018-10-13,2018-10-13,2018-10-13,False,False
Through the Looking Pane,dermenscha,1,1000,1,1000,2018-10-13,2018-10-13,2018-10-13,False,False
Voidheart,Legion0047,2,5400,2,5400,2018-10-13,2018-10-13,2018-10-13,False,False
Why Nina Lied: The Story Of A Simurgh Attack,Synonym,1,2200,1,2200,2018-10-13,2018-10-13,2018-10-13,False,False
Bubbles Always Pop,skyrunner,6,16000,6,16000,2018-10-13,2018-03-30,2018-10-13,False,True
Paramount,Crazy Demon,23,44000,23,44000,2018-10-13,2018-09-23,2018-10-13,False,True
I Like Clockblocker Better,AParticularlyLargeBear,1,1300,1,1300,2018-10-13,2018-10-13,2018-10-13,False,True
Life Begins At Night,Fox_In_A_Box,1,1800,1,1800,2018-10-13,2018-10-13,2018-10-13,False,True
The DOOM of Earth Bet,Inquisitor Halbread,1,6700,12,74000,2018-10-13,2016-07-08,2018-10-13,False,False
The Raven,TheRealChuckNorris,1,1900,23,27000,2018-10-13,2017-07-11,2018-10-13,False,False
That Others May Tinker,6thfloormadness,1,2000,23,66000,2018-10-13,2017-03-15,2018-10-13,False,False
[CMDR] N0M4D,Kerashana,3,4800,23,30000,2018-10-13,2018-06-18,2018-10-13,False,False
A Diegetic Soundtrack,Bubelah,1,4000,3,12000,2018-10-13,2018-07-07,2018-10-13,False,False
One Hell of an Afternoon,lordmcdeath,1,1000,69,83000,2018-10-13,2016-02-17,2018-10-13,False,False
Pushing Buttons,MAGNUS1337,1,396,2,792,2018-10-13,2018-09-27,2018-10-13,False,False
The Revolution Will Not Be Televised,TheEpicLotfi,1,5400,6,24000,2018-10-13,2018-07-27,2018-10-13,False,False
Skydance,Taliserian,1,2100,7,12000,2018-10-13,2018-08-29,2018-10-13,False,False
Age of the Superhuman,Unstorpable,1,6100,4,17000,2018-10-13,2018-10-02,2018-10-13,True,False
Queen of Subspace,AilingStar,1,1700,5,3900,2018-10-13,2018-09-29,2018-10-13,True,False
what it means to be a king (and what comes after),sakuraluck,21,40000,21,40000,2018-10-13,2018-08-11,2018-10-13,True,False
Aftermath,HappyDay,1,335,1,335,2018-10-09,2018-10-09,2018-10-06,False,False
Brockton Bay Predator,Wolfling121179,1,1400,1,1400,2018-10-06,2018-10-06,2018-10-06,False,False
Domino,Sgtbird08,1,1800,1,1800,2018-10-08,2018-10-08,2018-10-06,False,False
Grace and Elegance,Ten Tonne Skeleton,1,3800,1,3800,2018-10-08,2018-10-08,2018-10-06,False,False
Gremlin,NDH,1,892,1,892,2018-10-06,2018-10-06,2018-10-06,False,False
Laughter,tearlessNevermore,2,4100,2,4100,2018-10-06,2018-10-08,2018-10-06,False,False
The Red Lotus and the Stalker,Krieg Schnee,1,1600,1,1600,2018-10-07,2018-10-07,2018-10-06,False,False
Technomancer,kepic,3,4600,3,4600,2018-10-06,2018-10-09,2018-10-06,False,False
Worm: Jackpocalypse,BuzzaxeBandit,3,970,3,970,2018-10-06,2018-10-09,2018-10-06,False,False
Avalon: The Ever Distant Dream,WiseSilver,1,2500,1,2500,2018-10-08,2018-10-07,2018-10-06,False,True
Ãber &amp; Leet&apos;s Player Three,AParticularlyLargeBear,1,1700,1,1700,2018-10-10,2018-10-09,2018-10-06,False,True
Hi yes I&apos;d like to order one Bowsette please,EtchJetty,1,1600,1,1600,2018-10-08,2018-10-07,2018-10-06,False,True
Hitchhikers,Idiom Alpha,1,6100,1,6100,2018-10-09,2018-10-08,2018-10-06,False,True
Hitchhikers Sketch,Idiom Alpha,1,33,1,33,2018-10-06,2018-10-06,2018-10-06,False,True
I Heard Taylor Was Shredded,AParticularlyLargeBear,1,967,1,967,2018-10-10,2018-10-09,2018-10-06,False,True
Just a Party,Tamoline,1,3900,1,3900,2018-10-06,2018-10-06,2018-10-06,False,True
Locked In,Idiom Alpha,1,770,1,770,2018-10-09,2018-10-09,2018-10-06,False,True
The &quot;Loft&quot;,EtchJetty,1,4700,1,4700,2018-10-08,2018-10-07,2018-10-06,False,True
The PRT Hotline Is Not A Toy,AParticularlyLargeBear,1,1000,1,1000,2018-10-06,2018-10-05,2018-10-06,False,True
Putting On Airs,Idiom Alpha,1,351,1,351,2018-10-09,2018-10-09,2018-10-06,False,True
Sphere-Tec,PlasticSoldier,1,3000,1,3000,2018-10-07,2018-10-07,2018-10-06,False,True
Three Pennies and a Dime,S0ngD0g13,1,725,1,725,2018-10-06,2018-10-06,2018-10-06,False,True
Tiny Bears,ParticularlyLargeBear,2,2000,2,2000,2018-10-06,2018-10-06,2018-10-06,False,True
What it takes to make Jack shut up,frustratedFreeboota,1,467,1,467,2018-10-06,2018-10-06,2018-10-06,False,True
Destiny of a Worm,Freohr_Weohnata_Kausta,4,5300,4,5300,2018-10-06,2018-05-09,2018-10-06,False,False
Gatecrash,Fantasy Ra,1,8100,42,253000,2018-10-06,2015-03-01,2018-10-06,False,False
I Have Special Eyes,Seyllian,1,170,4,5800,2018-10-09,2018-03-06,2018-10-06,False,False
Swarm,Kim Eeppinen,1,2000,7,21000,2018-10-06,2016-03-16,2018-10-06,False,False
To Rise Above,NeoDarklight,10,4900,10,4900,2018-10-06,2017-07-26,2018-10-06,True,False
Console,Soleneus,1,8900,6,68000,2018-10-09,2018-01-14,2018-10-06,False,False
A Dark Swordsman,CosmogenicBaedeker,1,1100,2,2600,2018-10-07,2018-09-30,2018-10-06,False,False
Dragonslayer,T0PH4T,1,3600,7,25000,2018-10-06,2018-08-23,2018-10-06,False,False
For the Honor ofâ¦,mp3.1415player,11,66000,11,66000,2018-10-06,2018-07-01,2018-10-06,False,False
Fun and Games,Dusky,1,4700,2,3400,2018-10-06,2018-08-15,2018-10-06,False,False
Gold and Relative Dimensions,Ellf,1,3500,14,39000,2018-10-06,2017-05-21,2018-10-06,False,False
Infinite Stars,SquiddlePitch,2,3300,3,4200,2018-10-08,2018-09-19,2018-10-06,False,False
Monster,Ghoul King,1,6000,39,211000,2018-10-08,2016-05-25,2018-10-06,False,False
More Than I Am,Griswell,1,2600,4,6500,2018-10-09,2018-09-18,2018-10-06,False,False
One Bad Day,ack1308,1,7200,5,37000,2018-10-09,2016-06-04,2018-10-06,False,False
Pick Your Poison,GameJunkie7,1,3400,62,218000,2018-10-07,2017-07-20,2018-10-06,False,False
Shadow of the Bay,jacobk,1,4600,13,64000,2018-10-06,2018-02-13,2018-10-06,False,False
She is my Mistress!,Electric Heart,1,1200,13,15000,2018-10-09,2018-04-23,2018-10-06,False,False
"Transposition, or: Ship Happens",ensou,19,96000,19,96000,2018-10-09,2016-08-02,2018-10-06,False,False
With Grace and Elegance,YoshYoshYosh,1,121,23,92000,2018-10-08,2018-11-15,2018-10-06,False,False
Xenotales Genesis,ReiZetsubou,1,3000,2,4300,2018-10-09,2018-10-01,2018-10-06,False,False
The Endbringer Dating Simulator,Spktr Alpha,35,25000,35,25000,2018-10-06,2018-03-09,2018-10-06,True,False
Vista Quest,lifeofgesture,1,367,23,7200,2018-10-08,2018-08-28,2018-10-06,True,False
The Compost Heap - Worm Omake,PencilHyphenMonkey,4,2300,4,2300,2018-09-29,2018-09-29,2018-09-29,False,False
Anarchs,REAPER35,1,1800,1,1800,2018-09-29,2018-09-29,2018-09-29,False,True
The Bard,themanwhowas,1,1300,1,1300,2018-09-30,2018-09-29,2018-09-29,False,True
"Bases, conclusions, and exposition",ShadowVulpix,1,3200,1,3200,2018-10-01,2018-10-01,2018-09-29,False,True
Squealer,PlasticSoldier,1,984,1,984,2018-09-29,2018-09-29,2018-09-29,False,True
Ghosts,Ficmac,1,1300,1,1300,2018-10-02,2018-10-02,2018-09-29,False,True
Grimm Administration,PlasticSoldier,1,2200,1,2200,2018-09-29,2018-09-29,2018-09-29,False,True
Leer,babagaia,1,942,1,942,2018-09-29,2018-09-29,2018-09-29,False,True
Pathin&apos; It,babagaia,0,1400,0,1400,2018-10-02,2018-10-02,2018-09-29,False,True
a poem? or something...,StoryCrafteer,1,168,1,168,2018-09-29,2018-09-29,2018-09-29,False,True
Premature,PlasticSoldier,1,1500,1,1500,2018-09-29,2018-09-29,2018-09-29,False,True
Principal Wilkins,PlasticSoldier,1,1700,1,1700,2018-09-29,2018-09-29,2018-09-29,False,True
Professor,PlasticSoldier,1,992,1,992,2018-09-29,2018-09-29,2018-09-29,False,True
Resolution,Barrackoli,1,2000,1,2000,2018-09-30,2018-09-29,2018-09-29,False,True
Rorschach in Worm,PlasticSoldier,1,1300,1,1300,2018-09-29,2018-09-29,2018-09-29,False,True
Self insert as the Duck Butt,Jaune Pendragon,1,1300,1,1300,2018-09-29,2018-09-29,2018-09-29,False,True
Simurgh,StoryCrafteer,1,188,1,188,2018-09-29,2018-09-29,2018-09-29,False,True
Visionary,PlasticSoldier,1,1000,1,1000,2018-09-29,2018-09-29,2018-09-29,False,True
Walking On The Other Side,TheBeardedOne,1,1800,1,1800,2018-09-29,2018-09-29,2018-09-29,False,True
Eyes,S0ngD0g13,2,2200,12,11000,2018-09-29,2018-05-02,2018-09-29,False,False
"I, Panacea",Ack,1,7100,23,118000,2018-10-01,2015-01-07,2018-09-29,False,False
Spectrum,Phantomwa1ker,1,11000,3,27000,2018-10-02,2018-05-03,2018-09-29,False,False
Stealing Fire,Jack Stargazer,1,3300,8,27000,2018-09-29,2016-08-21,2018-09-29,False,False
That sounds like work,flabbyknight,1,2500,4,2000,2018-09-30,2015-06-10,2018-09-29,False,False
Valet,themanwhowas,1,1200,2,2500,2018-09-30,2018-03-31,2018-09-29,False,False
Be Wary Of The Man Who Speak In Hands,LeonFeneBlack,2,832,2,832,2018-10-02,2018-09-24,2018-09-29,False,False
Choosing my Own Adventure; Vows and Limitations,ThoughtsOfDeath,2,12000,4,23000,2018-09-29,2018-09-28,2018-09-29,False,False
Don&apos;t Do Brains!,Idiom Alpha,1,67,14,47000,2018-09-29,2018-07-12,2018-09-29,False,False
Freaky Friday,TheGreatGimmick,29,178000,29,178000,2018-10-02,2018-02-10,2018-09-29,False,False
Let&apos;s Play a Game,Shadow Archon,12,38000,12,38000,2018-10-02,2018-03-30,2018-09-29,False,False
Life is Bad,lifeofgesture,1,701,7,6600,2018-09-30,2018-11-07,2018-09-29,False,False
Panacea had changed over the winter,Ratmor,1,477,3,1800,2018-09-29,2018-08-08,2018-09-29,False,False
Paradoxical,ensou,1,4600,11,19000,2018-10-01,2018-04-30,2018-09-29,False,False
Self Discovery,Clerical Error,1,3700,3,4800,2018-09-29,2018-09-16,2018-09-29,False,False
Shadowrun: Brockton Bay,HereticalZed,1,4600,7,25000,2018-09-30,2018-01-24,2018-09-29,False,False
Silencer comes to Brockton Bay,Simon.h,5,3200,12,7500,2018-09-29,2018-09-08,2018-09-29,False,False
Skillz,R.N.Ellington,1,3000,4,12000,2018-09-29,2018-09-26,2018-09-29,False,False
Soul Transmigration,SeerKing,1,4000,4,16000,2018-10-01,2018-09-04,2018-09-29,False,False
Trekking,Selector,2,3700,16,35000,2018-09-29,2018-09-20,2018-09-29,False,False
"Two Steps Forward, One Step Back",FantasticalContrarian,1,5700,21,114000,2018-09-29,2017-09-15,2018-09-29,False,False
Web Warrior!,Lunaryon,3,3100,3,3100,2018-09-30,2018-09-19,2018-09-29,False,False
Rise of a Legend: From Nothing,Kay,1,2300,5,11000,2018-10-01,2018-09-24,2018-09-29,True,False
Welcome to Madison,*FuryouMiko,1,743,13,10000,2018-10-01,2018-09-08,2018-09-29,True,False
Cracked Like a Bag of Pistachios,TheOneTrueSpartacus,1,808,1,808,2018-09-24,2018-09-23,2018-09-22,False,False
Ending Cycles,ayew,2,1800,2,1800,2018-09-22,2018-09-22,2018-09-22,False,False
Fighter,TarkustheJaguar,1,2000,1,2000,2018-09-26,2018-09-26,2018-09-22,False,False
For those Without Ships,Onewhiteconehat,1,1400,1,1400,2018-09-26,2018-09-25,2018-09-22,False,False
Jackpocalypse,BuzzaxeBandit,2,1000,2,1000,2018-09-22,2018-09-22,2018-09-22,False,False
No Brakes,herbie_was_a_mistake,3,5000,3,5000,2018-09-22,2018-09-22,2018-09-22,False,False
Worm Playlist,AuroraDragon,1,511,1,511,2018-09-22,2018-09-22,2018-09-22,True,False
Things a Girl Loves,RoyalNoises,80,52000,80,52000,2018-09-25,2018-05-20,2018-09-22,False,True
Arbiters,SouthernWind,1,1900,1,1900,2018-09-25,2018-09-24,2018-09-22,False,True
Bigger Sister,Zero-metallix,2,1500,2,1500,2018-09-22,2018-08-21,2018-09-22,False,True
Clarke,T0PH4T,1,5200,1,5200,2018-09-24,2018-09-24,2018-09-22,False,True
Don&apos;t mess with Mommy Skitter,brian edner,1,1400,1,1400,2018-09-24,2018-09-24,2018-09-22,False,True
The Easy Way,DataSnake,1,953,1,953,2018-09-24,2018-09-23,2018-09-22,False,True
I&apos;m such a Nice Guy,StoryCrafteer,1,370,1,370,2018-09-22,2018-09-22,2018-09-22,False,True
Infinite energy!,StoryCrafteer,1,366,1,366,2018-09-26,2018-09-25,2018-09-22,False,True
PanPan and Simmie save Earth-chan,StoryCrafteer,1,233,1,233,2018-09-22,2018-09-22,2018-09-22,False,True
Saving the Bay from Coil!,StoryCrafteer,1,339,1,339,2018-09-22,2018-09-22,2018-09-22,False,True
Shitty Candy and Better Luck,T0PH4T,1,1000,1,1000,2018-09-23,2018-09-23,2018-09-22,False,True
Templates,Ficmac,1,1600,1,1600,2018-09-22,2018-09-22,2018-09-22,False,True
Untitled; suggestions?,S0ngD0g13,2,842,2,842,2018-09-23,2018-09-22,2018-09-22,False,True
Versus Lung,ShadowVulpix,1,2300,1,2300,2018-09-23,2018-09-23,2018-09-22,False,True
Worm x Dr. Strange,Bochord of Leaspell,1,155,1,155,2018-09-22,2018-09-21,2018-09-22,False,True
Worm: Teaser Trailer Script,nexech,1,433,1,433,2018-09-26,2018-09-25,2018-09-22,False,True
"Drips, Dribbles and Drabbles",blackamberwolf,1,316,6,877,2018-09-22,2014-05-03,2018-09-22,False,False
Finding the Path,Fouredged Sword,2,979,32,28000,2018-09-22,2014-11-17,2018-09-22,False,False
Valor,TheRealChuckNorris,1,1500,3,4000,2018-09-24,2018-03-05,2018-09-22,False,False
Welcome to the Real World Emma,Selector,1,1000,2,1400,2018-09-25,2018-06-11,2018-09-22,False,False
Ancient Legos,Weldon Kenfield,1,5300,10,45000,2018-09-22,2018-10-28,2018-09-22,False,False
Causing a Storm,StoryCrafteer,10,8200,10,8200,2018-09-24,2018-09-13,2018-09-22,False,False
Dive In Headfirst,AilingStar,2,1500,2,1500,2018-09-22,2018-09-20,2018-09-22,False,False
God&apos;s Journey Across Earth Bet,Amazingking14,1,780,5,8600,2018-09-23,2018-07-22,2018-09-22,False,False
An Imago of Rust and Crimson,EarthScorpion,56,279000,56,279000,2018-09-24,2013-09-20,2018-09-22,False,False
Into Fire and Into Ice,Undying Soul98,1,5200,5,31000,2018-09-22,2018-08-18,2018-09-22,False,False
It Gets Worse,ack1308,1,11000,19,140000,2018-09-24,2015-12-04,2018-09-22,False,False
The T in Trigger stands for Trauma,mildrice,1,1600,2,831,2018-09-23,2018-08-11,2018-09-22,False,False
Tales of Earth R,ian25rebel,1,2600,6,11000,2018-09-22,2018-07-30,2018-09-22,False,False
Taylor in Kanto,ROBOT_Ted,1,1200,3,4800,2018-09-24,2018-08-14,2018-09-22,False,False
Worm Respun,Aetheron,17,55000,17,55000,2018-09-24,2017-05-09,2018-09-22,False,False
The Woven Light,Myst,2,3100,7,9000,2018-09-23,2018-08-27,2018-09-22,False,False
Platinum Edition,Helian05,8,35000,8,35000,2018-09-23,2018-07-10,2018-09-22,True,False
Worm Portland,Fenrizwolf,1,1200,2,782,2018-09-26,2018-09-20,2018-09-22,True,False
Citizen,amateras,1,508,1,508,2018-09-17,2018-09-16,2018-09-15,False,False
Convergence,Bapanada,1,2500,1,2500,2018-09-15,2018-09-15,2018-09-15,False,False
Elevation,Rhys1812,1,2000,1,2000,2018-09-15,2018-09-15,2018-09-15,False,False
Estrangement Dependency,KindaApatheticButNice,1,5500,1,5500,2018-09-18,2018-09-18,2018-09-15,False,False
A Fragile Calm,Florian Knox,1,5300,1,5300,2018-09-16,2018-09-16,2018-09-15,False,False
Huntress,Dragonspirit996,1,444,1,444,2018-09-18,2018-09-18,2018-09-15,False,False
King Arthur &amp; A Demi Goddess Walk Into A War,Nicola,1,1900,1,1900,2018-09-15,2018-09-15,2018-09-15,False,False
Mouth-Breather,Moonfeather,2,1300,2,1300,2018-09-15,2018-09-15,2018-09-15,False,False
Revenge is never a straight line,Bladeruler,1,1800,1,1800,2018-09-15,2018-09-15,2018-09-15,False,False
You&apos;re not supposed to be here,QuickDeath007,3,2300,3,2300,2018-09-15,2018-09-18,2018-09-15,False,False
The Emperor&apos;s Magical Girls,cyrileom,2,1700,2,1700,2018-09-15,2018-09-15,2018-09-15,True,False
Requestible,Pharus,3,4200,3,4200,2018-09-15,2018-09-17,2018-09-15,True,False
Imperator,JonBerry,118,197000,118,197000,2018-09-18,2018-02-03,2018-09-15,False,True
Nimrod,Pita,6,15000,6,15000,2018-09-16,2017-08-25,2018-09-15,False,True
Recluse,stabbyunicorn,7,5100,7,5100,2018-09-16,2018-09-11,2018-09-15,False,True
Arrival,ShadowVulpix,1,1600,1,1600,2018-09-15,2018-09-15,2018-09-15,False,True
The Battle of Arathi Basin,brian edner,1,2800,1,2800,2018-09-17,2018-09-17,2018-09-15,False,True
Blackstar,Stewart92,1,1400,1,1400,2018-09-15,2018-09-15,2018-09-15,False,True
First,pally320,1,348,1,348,2018-09-16,2018-09-15,2018-09-15,False,True
Greg&apos;s Pain,Jaune Pendragon,1,440,1,440,2018-09-15,2018-09-15,2018-09-15,False,True
Inserted,ManMagnificent,1,4000,1,4000,2018-09-15,2018-09-15,2018-09-15,False,True
The Liaison,Disciple,1,1400,1,1400,2018-09-15,2018-09-15,2018-09-15,False,True
"A name, a name, a name",T0PH4T,1,139,1,139,2018-09-16,2018-09-16,2018-09-15,False,True
The Pendor Invasion of Brockton Bay,EiriFllyn,1,6500,1,6500,2018-09-15,2018-09-15,2018-09-15,False,True
Sister,pally320,1,464,1,464,2018-09-17,2018-09-17,2018-09-15,False,True
Taylorcoaster Taycoon,IAmARobot,1,2900,1,2900,2018-09-15,2018-09-15,2018-09-15,False,True
Technophile,skyrunner,1,932,1,932,2018-09-15,2018-09-15,2018-09-15,False,True
Ant Homework,doorbell,7,11000,7,11000,2018-09-16,2015-12-24,2018-09-15,False,False
The Slippery Slope,Ack,1,7300,22,172000,2018-09-15,2015-05-03,2018-09-15,False,False
To Wish Upon a Shard,RavensDagger,1,3900,28,67000,2018-09-15,2018-10-26,2018-09-15,False,False
Touched by the Gods.,RichardWhereat,3,2100,3,2100,2018-09-15,2017-08-27,2018-09-15,False,False
Verdant,Rhys1812,1,2000,6,12000,2018-09-16,2017-09-10,2018-09-15,False,False
A Builderâs Tale - Brockton Bay,Wrin,1,1200,4,5300,2018-09-15,2018-08-28,2018-09-15,False,False
Dare to change,S1lverhair,1,3100,14,48000,2018-09-16,2018-06-28,2018-09-15,False,False
Delirium,audriuska12,24,44000,24,44000,2018-09-16,2018-07-06,2018-09-15,False,False
Drip,anondymous,1,799,11,23000,2018-09-17,2018-06-06,2018-09-15,False,False
DROP,Aktm,1,8000,27,69000,2018-09-18,2018-05-31,2018-09-15,False,False
Essays about Dragon,anthropophobicameba,1,3200,3,7100,2018-09-18,2018-08-05,2018-09-15,False,False
Fourth,Weldon Kenfield,1,7000,6,31000,2018-09-15,2018-02-03,2018-09-15,False,False
Immersion,TheDivineDemon,1,2900,7,24000,2018-09-15,2018-07-14,2018-09-15,False,False
Locked Childhood,Ilovepievich,1,726,13,12000,2018-09-15,2018-08-27,2018-09-15,False,False
A Mewtiful Brockton Bay,AilingStar,1,1100,19,23000,2018-09-15,2018-10-19,2018-09-15,False,False
My Great Grandpa Kratos,konamikode,2,2700,15,27000,2018-09-15,2018-05-13,2018-09-15,False,False
"A Song of Ice and Fire, and Worm",Transcendent Equinox,1,4300,3,5300,2018-09-15,2018-09-04,2018-09-15,False,False
Sufficiently Advanced,Belial666,1,1600,16,23000,2018-09-15,2018-07-10,2018-09-15,False,False
The Tailor,Somewhat Disinterested,1,1800,3,5200,2018-09-18,2018-09-01,2018-09-15,False,False
Various Ideas,meja9201,1,1200,7,22000,2018-09-15,2018-08-21,2018-09-15,False,False
Change of an Era,Lunaryon,1,2400,7,11000,2018-09-17,2018-08-14,2018-09-15,True,False
Duality,Error404:PlotNotFound,3,2700,3,2700,2018-09-08,2018-09-08,2018-09-08,False,False
Rats!,Idiom Alpha,2,2400,2,2400,2018-09-08,2018-09-09,2018-09-08,False,False
Bloody Tinkers II: Bloodier in Boston,unsanity,9,3100,9,3100,2018-09-08,2018-09-08,2018-09-08,False,True
Delinquents,Axle,36,138000,36,138000,2018-09-10,2016-10-25,2018-09-08,False,True
Deal,QAI521,1,3500,1,3500,2018-09-08,2018-09-08,2018-09-08,False,True
The Dragons Second Chance,Lazy Author with writers block,1,1700,1,1700,2018-09-09,2018-09-09,2018-09-08,False,True
Hospitality,6thfloormadness,1,2100,1,2100,2018-09-08,2018-09-08,2018-09-08,False,True
Insatiate - Appetite,Markala,1,876,1,876,2018-09-08,2018-09-08,2018-09-08,False,True
Invulnerable,Ficmac,1,1000,1,1000,2018-09-08,2018-09-08,2018-09-08,False,True
